filename, fileSize [kb], RoIs, capture [ms], faceDetect [ms], convert[ms], encryption [ms], writeToDisk
../../testImages/100quality/100-image0186-640x480.jpg, 260311, 8, 40.7139, 266.962, 179.472, 61.8138, 3.10784
../../testImages/100quality/100-image0187-640x480.jpg, 278223, 8, 41.6568, 214.49, 140.502, 53.3712, 3.35083
../../testImages/100quality/100-image0188-640x480.jpg, 279268, 8, 46.1116, 214.937, 140.397, 53.4422, 3.40082
../../testImages/100quality/100-image0189-640x480.jpg, 262388, 8, 42.2418, 250.798, 138.864, 50.1084, 267.275
../../testImages/100quality/100-image0190-640x480.jpg, 259311, 8, 70.4564, 268.382, 167.605, 50.6514, 3.34283
../../testImages/100quality/100-image0191-640x480.jpg, 261274, 8, 39.8239, 268.137, 158.017, 51.8043, 3.20883
../../testImages/100quality/100-image0192-640x480.jpg, 271976, 8, 39.045, 210.665, 140.385, 54.7592, 5.43972
../../testImages/100quality/100-image0193-640x480.jpg, 260830, 8, 40.0419, 211.063, 138.461, 51.5643, 3.13184
../../testImages/100quality/100-image0194-640x480.jpg, 261876, 8, 39.109, 267.406, 167.472, 49.9674, 172.119
../../testImages/100quality/100-image0195-640x480.jpg, 270540, 8, 71.3293, 266.805, 168.135, 51.1614, 3.26983
../../testImages/100quality/100-image0196-640x480.jpg, 275856, 8, 41.2979, 266.983, 152.846, 52.9763, 3.45782
../../testImages/100quality/100-image0197-640x480.jpg, 262226, 8, 41.5899, 214.968, 138.765, 49.1435, 3.09884
../../testImages/100quality/100-image0198-640x480.jpg, 263832, 8, 48.0155, 221.084, 139.133, 50.4124, 3.15084
../../testImages/100quality/100-image0199-640x480.jpg, 280594, 8, 40.4359, 265.35, 157.785, 54.2102, 3.42782
../../testImages/100quality/100-image0200-640x480.jpg, 270899, 8, 40.9489, 297.216, 139.52, 51.0204, 3.25483
../../testImages/100quality/100-image0201-640x480.jpg, 263164, 8, 42.4978, 266.941, 152.282, 50.4954, 3.30983
../../testImages/100quality/100-image0202-640x480.jpg, 260486, 8, 40.0289, 214.729, 138.984, 48.9535, 5.43472
../../testImages/100quality/100-image0203-640x480.jpg, 266676, 8, 41.1299, 213.646, 139.507, 51.1714, 3.20683
../../testImages/100quality/100-image0204-640x480.jpg, 263757, 8, 40.0329, 267.536, 171.031, 49.9714, 3.12984
../../testImages/100quality/100-image0205-640x480.jpg, 261889, 8, 42.4678, 212.876, 139.139, 51.8543, 3.21583
../../testImages/100quality/100-image0206-640x480.jpg, 257291, 8, 38.904, 266.551, 176.081, 64.5297, 176.422
../../testImages/100quality/100-image0207-640x480.jpg, 278954, 8, 66.7226, 244.179, 142.527, 56.7491, 3.71481
../../testImages/100quality/100-image0208-640x480.jpg, 273526, 8, 40.9449, 266.783, 161.44, 54.2212, 3.34283
../../testImages/100quality/100-image0209-640x480.jpg, 271292, 8, 40.7869, 213.261, 140.83, 52.2023, 3.28483
../../testImages/100quality/100-image0210-640x480.jpg, 267218, 8, 47.6565, 211.464, 140.455, 52.7683, 3.22883
../../testImages/100quality/100-image0211-640x480.jpg, 272036, 8, 40.5229, 265.154, 157.971, 53.9442, 3.25383
../../testImages/100quality/100-image0212-640x480.jpg, 281692, 8, 39.8299, 211.505, 142.087, 59.024, 110.633
../../testImages/100quality/100-image0213-640x480.jpg, 263501, 8, 61.6188, 250.8, 139.272, 50.5684, 3.30783
../../testImages/100quality/100-image0214-640x480.jpg, 270574, 8, 44.9577, 213.819, 139.931, 52.0173, 3.28283
../../testImages/100quality/100-image0215-640x480.jpg, 269152, 8, 41.8938, 213.531, 139.992, 51.6123, 3.28683
../../testImages/100quality/100-image0216-640x480.jpg, 283421, 8, 40.6279, 243.954, 141.767, 58.225, 3.63181
../../testImages/100quality/100-image0217-640x480.jpg, 261168, 8, 40.1299, 265.126, 176.055, 52.1243, 175.309
../../testImages/100quality/100-image0218-640x480.jpg, 262963, 8, 70.0494, 264.659, 179.431, 50.4314, 3.37883
../../testImages/100quality/100-image0219-640x480.jpg, 279995, 8, 41.0429, 264.531, 154.086, 57.0481, 3.49282
../../testImages/100quality/100-image0220-640x480.jpg, 272016, 8, 40.1909, 221.274, 140.643, 52.3263, 3.43082
../../testImages/100quality/100-image0221-640x480.jpg, 264325, 8, 41.0579, 213.391, 139.823, 50.3614, 3.30983
../../testImages/100quality/100-image0222-640x480.jpg, 261012, 9, 41.3279, 256.825, 140.017, 62.5458, 3.43582
../../testImages/100quality/100-image0223-640x480.jpg, 282397, 8, 58.019, 264.993, 155.767, 58.936, 3.51482
../../testImages/100quality/100-image0224-640x480.jpg, 268603, 8, 39.108, 213.557, 139.729, 52.3073, 3.73881
../../testImages/100quality/100-image0225-640x480.jpg, 259464, 8, 39.8039, 210.69, 138.791, 51.1144, 3.67481
../../testImages/100quality/100-image0226-640x480.jpg, 265498, 8, 44.2907, 213.429, 139.812, 51.0684, 3.71381
../../testImages/100quality/100-image0227-640x480.jpg, 279271, 9, 39.305, 264.743, 172.315, 63.4387, 3.51982
../../testImages/100quality/100-image0228-640x480.jpg, 272338, 9, 39.328, 223.179, 177.513, 59.9259, 24.9417
../../testImages/100quality/100-image0229-640x480.jpg, 267392, 8, 67.9185, 214.823, 140.219, 51.9503, 3.75181
